star,date,cmt
1,2019-03-06,마블 영화는 다 봤는데 이건 안 보고 싶다돌아가신 스탠 리 선생님을 위하여  
10,2019-03-06,몰려와서 평점테러 하는거 진짜 수준낮다 ㅉㅉ 영화 보지도 않고 영화내용이랑 관련없는걸로 왜 평점테러질이야? 보기싫으면 니들만 보지말던가 이래놓고 영화 흥행 잘만할듯  
1,2019-03-06,별루 가뜩이나 논란도 있고 해서 더욱 보기 싫다.  
9,2019-03-06,아니 네이버 평점 왜이래요? 저는 재밌게봣어요! 옛날 감성으로 재밌게봤습니다!  
10,2019-03-06,냥덕들은 필히 볼것. 너무 귀여움ㅜㅜ마블덕후들은 떡밥 회수도 많고 다음 어벤저스 엔딩 떡밥도 많이 던진걸 알아찰수있을듯. 마지막 어벤저스화를 위해 꼭 거쳐가야할 마지막 퍼즐느낌  
6,2019-03-06,관람객기대가컸던탓인지 진짜솔직히 어벤져스관련쿠키영상이랑 중간중간에 사무엘잭슨의코믹연기아니였으면 볼가치도없던영화였음...지루해질때쯤마다 잭슨이 캐리했다고봄  
3,2019-03-06,배우논란 같은건 신경 안 쓰고 영화 보는 사람인데 다 제쳐놓더라도 cg빼곤 매우 안 좋습니다 무슨 엔드게임을 위한 긴 예고편을 본듯한 허망함이  느껴지네요 사실 이거 안 보고 바로 엔드게임 봐도 무방합니다 스토리가 뻔하고 엉성하면서 지루해요  
10,2019-03-06,영화평을 써라 고인 모독은 딴 데 가서 좀 지껄이고  
3,2019-03-06,관람객배우 하나 때문에 이렇게 집중이 안되긴 처음이다.. 페미가 문제가 아니라 캐릭터랑 너무 안 맞음; 영화 내내 무표정으로 지루하다는 듯이 연기하는 꼴 보고 있으니 내가 다 질린다. 그리고 사실상 어벤져스 내용과 거의 무관. 혼자 자아 찾는 내용이 전부임  
10,2019-03-06,재밌어요 ㅎ ㅎ ㅎ ㅎ 히 히  
10,2019-03-06,"주인공이 미스캐스팅이다, 페미다는 다 상관없고 마블영화 중에 손꼽을정도로 재미있었고 다음 영화까지 기대하게 만들정도로 재미있던 영화. 평점이 왜 낮은지 이해불가 영화  "
10,2019-03-06,진짜 마블세계관이 또 감탄함. 그 전에 인피니티워랑 이어지는 이야기와 몰랐던 사실을 알게돼서 소름돋고 어벤져스가 나오게된 것 이야기와 다 알게돼서 좋았음 빨리 엔드게임나와라..  
10,2019-03-06,개쩐다ㅋㅋ캡틴마블 겁니세네 불꽃간지다 진심 와와하면서 봤음 ㅋ어벤져스 마지막편 엄청기대되네요  
10,2019-03-06,역시 마블 영화는 진리 ㅎㅎ 그냥 히어로물일 뿐인데 왜케 욕이 많은지 마음 아픔ㅠㅠ 어벤져스 스포도 있고 핡 꼭 보세용ㅎㅎ  
10,2019-03-06,나만 재밌게 봄???!!!  
10,2019-03-06,페미 운운하면서 부들대는 애들 왜이렇게 안쓰럽냐...너네 보지도 않고 토렌트로 받을거라며 ㅋㅋ  
10,2019-03-06,너무 재밌어요 꼭 보세요~  
1,2019-03-06,솔직히 줄거리만 봐도 졸라짱쌘 사람이 자아찾아다니면서 방황하다가 마지막에 졸라짱쌘 힘으로 빌런 순삭 시키는거 딱봐도 슈퍼맨 생각밖에 안남.  
9,2019-03-06,재밌는데 왜그러냐ㅋㅋ  
10,2019-03-06,재밌던데 다들 안보고 평점 테러하네브리라슨 개이쁨ㅋ  
10,2019-03-06,허허 성향 차이로 이러는건 심하시네요 재밌습니다 그건 ㄹㅇ팩트임  
10,2019-03-06,일베에서 좌표찍고 몰려왔나..  
