star,date,cmt 
1,2019-03-06,마블영화는 이유없이 걸려야지 ㅋㅋ  
2,2019-03-06,재미 없어요 ~~ 연기를 잘하는지도 모르겠고 ~~  
1,2019-03-06,님들 차라리 후뢰시맨을 보세요  
3,2019-03-06,보고왔습니다 만은 페미니즘 요소는 강하지않았습니다. 그런데 CG도 품질이 별로 좋지않고  그냥 특별할것 없는 엔드게임 인질로 잡은  공산품입니다.  
1,2019-03-06,꼴페미 아웃 OCN에서 보자  
1,2019-03-06,페미문제를 떠나서 일단 영화자체가 너무 노잼에 답도 없네요  
1,2019-03-06,현대 페미니즘은 뭐다?? 뷔페미니즘이고 정신병이다.  
1,2019-03-06,안봐도 ㅈ 망 영화의 기운이 느껴진다 ㅋㅋㅋㅋ  
1,2019-03-06,엔드게임이나 봐야지....  
1,2019-03-06,페미 마블 보는 흑우 없제? 페미 빼고 ^^  
1,2019-03-06,마블도 생각이 있으면 뭔가 느끼는게 있겠지  
1,2019-03-06,마음같아선 -2억점정도 주고싶다...어벤져스 엔드게임이나 기다려야겠다..진짜 이건 주인공땜에 쉣이다 주인공을 잘못뽑아도 한참잘못뽑았어.술쳐먹고뽑은건지 뭔지 몰겠는데 에휴.턱주가리 날려버리고싶음  
1,2019-03-06,최악배우 마블의 최고의 실수  
1,2019-03-06,마블 이제 망한거임ㅋㅋㅋㅋ  
1,2019-03-06,영화 진짜 별루네요..  
1,2019-03-06,페미는 정신병입니다...  
1,2019-03-06,마블영화중에 제일 재미없게봄 아이맥스로 본게 돈아깝네  
1,2019-03-06,그냥 핵폐기물급 쓰레기 영화.  
1,2019-03-06,굿바이 스탠리. 그러나 캡틴 페미는 아니다  
1,2019-03-06,마블 흥행의 종결을 알리는 영화인가요 ~?  
1,2019-03-06,페미는 정신병입니다.  
1,2019-03-06,"경쟁작 끽해야 증인 하나인데 예매율 1위로 자위하는 페미수준, ㄹㅇ 탈출은 지능순  "
1,2019-03-06,실제로 역대 마블영화중 망작임 재미도 없고 격투신도 동네시장에서 갈치한마리두고싸우는 아줌마들 같아보임  
1,2019-03-06,진짜 주인공좀 제대로된 애로 써야지....진짜 너무 못생겼네  
1,2019-03-06,구역질나는 메갈영화~  
1,2019-03-06,배우교체 기원합니다.  
1,2019-03-06,페미영화 예매하고있는 흑우없제??  
5,2019-03-06,구스한테 출연료 많이줘라 끝까지 시선강탈함ㅋㅋ 쿠키빼곤별로볼꺼없음  
1,2019-03-06,Cg만 볼만하구요ㅋㅋㅋㅋ 휴 ㅋㅋ감독도 페미같은데  
1,2019-03-06,일단  사람부터 되야지 히어로지...  
1,2019-03-06,왜 트랜드를 이탈하는지 ;; 정줄논듯  
1,2019-03-06,페미든 뭐든 사람부터 되자  
1,2019-03-06,영화에 정치는 들어가지 말자..역겨우니까  
1,2019-03-06,알리타 배틀엔젤이 더 재밌네요  
1,2019-03-06,페미는 정신병입니다.  
1,2019-03-06,한줄분석 이 영화를 가장 좋아하는 그룹은 30대 여자입니다 = 30대 페미???  
1,2019-03-06,마블영화를 모두좋아한다 이영화를 기점으로 싫어질수있는 계기를 마련해주었다여자라는것은 차별받은 이유가 되지않는다하지만 페미니스트라는건 거부감과 혐오감을 불러일으킨다  
1,2019-03-06,마블이 이런 망작을 만들 줄 몰랐네ㅋㅋㅋ 페미를 떠나서 너무 노잼임  
1,2019-03-06,고인 능욕에 자비를 바라지 마라  
1,2019-03-06,"ㅋㅋ아니 여기 댓글다는 페미들로 추측되는 애들 털어보니, 남자인 경우 생각보다 많네? 뭐냐 얘넨ㅋㅋ정신차려라심지어 걔네 20대 후반 30대 초가 왜 이렇게 많아? 관종이야?  "
1,2019-03-06,배우 얼굴을 보면 볼수록 기분이 더럽다  
1,2019-03-06,이 영화를 가장 좋아하는 그룹은 30대 여자입니다 ㅋㅋㅋㅋ 노처녀맘충년들 단체로 발악하네  
1,2019-03-06,페미는 정신병.사회악.  
1,2019-03-06,페미는 사회악이다...  
1,2019-03-06,ocn 에서 만나요오옹  
1,2019-03-06,유튜브에 쿠키영상 올라온것만 볼껄 아오  
3,2019-03-06,언론 시사회 보고왔는데.... 캐스팅 문제는 아닌것같다...  
1,2019-03-06,감수성 듬뿍 담긴 페미영화네요 만점!  
2,2019-03-06,야 dc랑 감독바꿧냐 ???스토리 왜이럼???마블이dc보다 못하다니 ...보는내내 고개를갸웃거리게만드는영화네  
1,2019-03-06,"아이언맨에 로다주, 캡틴아메리카에 크리스에반스, 토르에 크리스햄식.. 등등등... 그렇게 캐스팅 잘해놓고 캐빈 파이기가 미세먼지를 마셧나? 캐스팅 팀이 dc에서 돈 먹엇나? 이번 캐스팅은 진짜 너무한거 아니냐?  "
1,2019-03-06,페미영화페미영화페미영화페미영화페미영화페미영화페미영화페미영화페미영화페미영화페미영화페미영화페미영화페미영화페미영화페미영화페미영화페미영화페미영화  
1,2019-06-06,국밥집 아줌마 주인공이 끝없이 몰입을 방해하는 영화. 미스캐스팅 재앙의 끝판왕.  
2,2019-06-02,페미 이런거 제외하고 마블팬으로써 본결과..처참한 수준임..cg와 연출 스토리 모두 마블영화중 최악중에 최악..배우 브리라슨도 생긴건 카리스마 있어보이는데 막상 영화에선 그닥임..약간 표정연기도 어색함..도대체 왜 만들었으며 아무 이득없는 영화임..  
1,2019-05-31,페미친년들 어휴 영화를 이 미친정신병자같은년들이 페미난장질로 해놨네 한국년들 진짜 미친년들  
6,2019-05-25,관람객솔직히 그닥 별로였습니다  
1,2019-05-04,"배우가 문제가 아니라 주인공이 문제다.성격파탄자 그자체.캐릭터가 여성이어서 욕먹는게 아니라 남성이었어도 마찬가지.또한 개연성 전혀없음.일례로 수트 색상이 그린톤에서 왜 블루, 레드로 바뀌는지 납득이 안감.스토리 엉성. 철부지 반항아를 보는듯  "
1,2019-05-04,페미고 뭐고 다 떠나서 마블10년을 통틀어 제일 쓰레기 같은 영화임에 틀림없다. 그 무엇보다  닉퓨리가 고양이랑 놀다가 한쪽눈을 잃었다는 끔찍한설정은 누가 만든것이냐 . 평점0이 없는것이 천추의 한이다.  
1,2019-05-02,캡틴 마블 이거때문에 어벤져스 3탄도 같이 망했다. 이딴 설정파괴 캐릭터는 어디서 튀어나온거냐 핵노답  
1,2019-05-01,ㄹㅇ 졸림여태까지 본 마블 영화중에서 가장 노잼이었음.  
10,2019-04-21,"성별에 관한 편견을 깨고 우주 최고 쎈캐로 성장해 나가는 캡틴마블의 모습을 보며 가슴이 뭉클했습니다. 몇번이고 넘어져도 툭툭털고 일어나는 모습이 멋있었어요. 중요한 점은 테스틀 통과했느냐, 훈련을 성공했느냐가 아닌  다시 일어나서 도전하는 것이란걸  "
5,2019-04-12,관람객아...좀 ...그래요  
6,2019-04-12,재미없고 너무 길었다...제일 감동포인트는 초반 thankyou stan이 아니었나 싶다.  
6,2019-04-12,관람객그냥 뭔가 그전의 마블과는 느낌이 좀 다름요.... 개인적으로 앤드게임을 잼께 보기위해 본 영화하고 장리하고 싶네여  
6,2019-04-12,600만 안되고 상영 끝날 듯...  
10,2019-04-08,"여기서 배우 인성 운운하는 것들은 걍 걸러라ㅋ 마블 남배우들 성희롱에 동양인 인종차별, 강간범 영화 옹호한 논란에는 1도 안씨부리는 것들이니까ㅋ  "
10,2019-04-01,관람객난 재밌게보고옴ㅋ 빨리나와라엔드게임!  
1,2019-03-29,한줄분석 이 영화를 가장 좋아하는 그룹은 20대 여자입니다.  ㅋㅋㅋ애쓴다 들...  
4,2019-03-28,"페미 요소니 이런걸 다 빼고 그냥 그런 영화.재미 없는건 아님! 퓨리 과거를 볼 수 있고 새 영웅의 탄생을 볼 수 있기에 좋은 영화. 하지만 마블 특유의 코믹한 부분이 모두 사라지고, 토르나 아이언맨처럼 화려한 액션이 다 죽음. 마블보단 DC 같음  "
10,2019-03-28,관람객다시 일어서는 장면에서 울컥!  
10,2019-03-26,엔드게임 기대중!!!  
2,2019-03-24,그냥 강하다는거 보여주는데 2시간이나쓰네.역겨운 영화 돈이 아까움 댓글에 혹해서 절대 보지말길  
6,2019-03-24,앞으로 어벤져스를 이끌어나갈 차세대리더인데왜캐 가볍게느껴지지?  
8,2019-03-24,관람객재밌었음 고양이가 진짜 너무너무 귀엽다 하아...  
10,2019-03-24,관람객잼나요 진짜 마블 영웅들 어벤져스 좋아하는 사람들은 꼭 볼만합니다  
10,2019-03-24,전 너무재밌네요~!!^^  
10,2019-03-24,관람객너무 재밌게 봤어요. 다음 마블시리즈 너무 기대됩니다.  
10,2019-03-23,"관람객정말 정말 재미있게 보고 왔습니다. 대사, 장면마다 깔리는 노래 가사, 주인공의 강인함이 큰 감동으로 다가왔습니다.  "
10,2019-03-23,관람객미리 본 사람들이 재미가 없다고 해서 궁금했는데 역시 마블이네요 재밌게 봤습니다.  
5,2019-03-22,"같은 여성 히어로 영화인 원더우먼에 비해 전하고자하는 메세지, 오락성, 액션 뭐 하나 뛰어난데 없었음  "
6,2019-03-22,관람객어벤져스 인피니티워에 캡틴마블을 등장시키기 위한 긴예고편..같은 느낌이었어욯ㅎㅎㅎ  
8,2019-03-21,관람객넘 재밌는... 역시 마블  다음편이 기대  
1,2019-03-20,마블영화 중 유일하게 보다가 졸았다...액션도 뭔가 98%부족한 느낌  
7,2019-03-19,엔딩 크레딧이 다 올라갈때까지 모든 관객이 자리를 떠나지 못하는 역대급 영화를 봤다.  
3,2019-03-19,마블 영화 같지 않음 그냥 캡틴 마블 짱 쌤만 보여주고 씨지도 보는데 불편할 정도로 눈에 잘 보임 차라리 유튜브 해석 영상만 봐도 충분할 듯ㅠㅠㅠㅠ  
5,2019-03-19,관람객생각보다 재밌다는 생각이 안들었던 마블영화 그냥 엔드게임을 위해 만든 영화로 밖에 생각이 안들정도.  
8,2019-03-18,관람객별로라고 했는데 직접 보니 저는 재미있었어요.  
1,2019-03-16,보지마셈 지루해서잤음  
2,2019-03-16,저에겐 그냥...별루네요ㅜㅜ시간아까웠어요. 마블잘 모르지만 항상 보는데.졸려요;;; 뭔가..제일 감정 이입 안되는;;알리타는 안졸고 잘 봤어요.  
7,2019-03-16,관람객그냥 500포인트 적립받으려고 씀  
4,2019-03-15,관객수 처참하네  페미같은 십소리만 안했어도 두배였다  
5,2019-03-14,이거 영화관 가서 두번 봤는데...첫번째는 술 조금 먹고가사 졸았나 싶었는데 두번째에도 졸았네요...9000원 짜리 예고편 두번본거 같아 아쉽네요...참고로 같이 간 일행도 졸았어요...  
7,2019-03-14,마블 영화라 기본은 하는 듯한데... 왜  그렇게 강력한 히어로가 되는 지에 대한 개연성있는 논리는 부족한 것 같다. 어벤져스 엔드게임으로 가는 과정에서 본 영화라는 데 만족해야 할 듯  
6,2019-03-14,예수님과 싸워도 이기겠더만  
4,2019-03-13,성편향적 영화는 아닌데 그냥 너무 재미가 없다.  
8,2019-03-11,관람객그냥 그래요 마블 시리즈라서 봐주는 느낌  
10,2019-03-10,재밌었음. 중간에  살짝  지루한 게  흠이긴  했는데  
9,2019-03-10,다음 어벤져스시리즈를 재밌게 볼려면 봐도 나쁘진 않을 것 같은데 기대했던 것 만크 재밌진 않아요. 하지만 볼거리도 있고 마블 영화인걸 감수 하고 본다면 잼게 볼 수 있을 것 같아요!  
10,2019-03-10,나만 .. 재밌었나 ..?  
8,2019-03-10,관람객보면서 여주 능력이 넘나 막강하다는 생각ㅋㅋㅋㅋ볼만합니다~~~  
8,2019-03-10,"평이 안좋길래  기대도 안하고  이제까지 본 시리즈가  아까워서 보러 갔는데오프닝 부터 뭉클했고, 영화도 적절한 유머코드, 액션, 내용 뭐하나 부족함 없었다.  "
10,2019-03-10,마블은 사랑입니다?? 캡틴마블 흥해라  
10,2019-03-10,보고 평가해주세여;;;  
10,2019-03-10,캡마 최고 ㅠㅠ 엔드게임도 기대 된다.  
10,2019-03-10,존멋탱~ 떡밥풀리는것도 존잼쓰~  
10,2019-03-10,캡틴마블 캐릭터 외모가 매력적이고 닉 퓨리의 예전 모습 볼 수있어서 좋네요!  
8,2019-03-10,관람객재밌게 보고 옴.  퓨리 외눈 된 이유..ㅋㅋㅋ  
10,2019-03-10,앤드게임이 너무 기대된다ㅎ  
10,2019-03-10,밝고 명랑한 히어로물 재미있었어요  
7,2019-03-10,관람객그냥 마블때문에본느낌  
10,2019-03-10,재밌다. 어벤져스가 너무 기대됨. 별점 테러하는 인간들 보고나 평점 매긴건지ㅋㅋㅋ 여성관련 내용만 나오면 까내려는 하타치 인간들 많네ㅋㅋㅋ  
10,2019-03-10,관람객신선한 히어로! 다음 번엔 어떤 활약을 보여줄 지 기대됩니다.  
10,2019-03-10,재미있는데 왜OOO들이냐집에서 키보드두드리며 열폭하는거보단 재밌다  
10,2019-03-10,너무 재밌다 어벤져스 엔드게임이 기대된다  
10,2019-03-10,여성과 고양이가 우주를 구한다  
7,2019-03-10,스토리 연동좋고 잼나요. 딱 요정도  
8,2019-03-10,관람객타노스 잡자. 마벨은 할 수 있다  
10,2019-03-10,마블영화에서 이렇게 감동을 느끼긴 처음이네요 앞으로도 이런 영화들 많이 볼 수 있으면 좋을 것 같아요  
1,2019-03-10,재밌는영화보면 잠안자고 몰입하면서 끝까지보는데  영화끝날때까지 잠오는영화 실망  
4,2019-03-10,관람객기대보다 잼나지 안네요  
5,2019-03-10,어벤져스 보려고 보시는분들 그냥 어벤져스만 봐도 되요.  
10,2019-03-10,재밌었음 넘어져도 일어나는거  
10,2019-03-10,관람객너무 기다렸던 캡틴마블~너무 재미있게 봤고요~너무 다음달 어벤져스 엔드게임이 보고 싶어요~^^  
10,2019-03-10,관람객보는내내 지루함이 없었네요  
10,2019-03-10,완전 ㅠㅠㅠ재미있어요  
10,2019-03-10,관람객역시 마블 시리즈~~~ 캡틴마블 음청 강해요.  
7,2019-03-10,관람객단독으로 생각하고 보면 나쁘지 않다.  
10,2019-03-10,관람객영화 재밌어요~~친구들이랑 봤어요  
10,2019-03-10,진짜 재밌게 보고 나왔어요. 개인적으로는 블랙펜서보다 재밌었어요. 젊은 퓨리와 신참 콜슨의 모습이 반가웠고요. 다른 마블 영화들과 마찬가지로 이전 시리즈를 봐야 더 재밌게 감상할 수 있는 영화입니다.  
10,2019-03-10,캐롤 사랑해 우주일진...  
10,2019-03-10,재미있었습니다~~~~  
10,2019-03-10,관람객너무재미있게봤습니다  역시 마블 짱  
10,2019-03-10,재미있게 봤음 고양이 귀여워~  
8,2019-03-10,관람객나름 볼만합니다!!!  
10,2019-03-10,관람객캡틴 마블이 제한받지 않게 되어 자유한 순간 모든 에너지를 다 받으며 파워플 해지는 모습 완전 시원하고 통쾌했어요. ~.  캐릭터의 갈등이 길게 끌지 않고 바로바로 해소 되어서 좋았어요.  
10,2019-03-10,관람객리얼 개멋있다 최고의 히어로 영화  
10,2019-03-10,관람객존나  잼있음  왜  재미 없다고 하는지 모르겠네요  
10,2019-03-10,관람객정말재미있었어요! 반전도 고양이도 정말 좋았고 캐롤의 어릴적과 캡틴마블이되는 과정을 보여주는게 정말  기억에 남네요  
10,2019-03-10,변화하는 시대. 짱 멋진 캡틴마블 모든 소녀가 봤으면 좋겠딘  
10,2019-03-10,최고에요 ㅠㅠ 여성 히어로물 흥해라 ..  
10,2019-03-10,관람객잼나게.  잘보앗어요~~  
10,2019-03-10,재미있게 잘 봤다. 역시 마블! 이라는 생각도 들고.. 영화 보지도 않고 별점테러만 하는 사람들은 어차피 영화를 즐길 자격 없음. 보고 평가해.  
10,2019-03-10,하도 말이 많아서 맘접고 엔드게임을 위한 어쩔수 없는 절차라고 생각했는데...잼있네??? 평점 테러 뭐하는 것들인지...;;  
10,2019-03-10,관람객댓글이 안좋아서 별로 기대안했는데 재밌네요  
10,2019-03-10,관람객완전 재밌음!! 엔드게임 너무 기대됨!  
10,2019-03-09,존잼입니다ㅠ 쿵쾅이 영화라고그래서 안볼뻔 했다가 큰날뻔했습니다 형님들  
10,2019-03-09,한번 더 보러 갑니다 기대 안하고 봤는데 재밌음  
9,2019-03-09,관람객역시 마블!완결판 기대할께요..  
10,2019-03-09,"페미? 이게 왜 페미가 욕먹어야하는 영화인가?? 의무는 없고 권리만 내세우는 한국꼴페미들은 역먹어야마땅하지만, 이영화는 페미영화랑은 전혀 관계없는데?? 브리라슨이 어떤 인터뷰를 했는지는 모르겠지만, 난 이영화 마블시리즈중에 손에 꼽는 수작이라고 본다.  "
10,2019-03-09,너무 재미있어요!!!!  
8,2019-03-09,"그냥 무난하게 재밌는 마블 영화 였어요, 페미영화라고 무적권 거를 정도는 아닌듯. 상식적으로 납득 가능한 선에서의 이야기임.  "
10,2019-03-09,진짜 졸라 멋있음...  
9,2019-03-09,엔드게임을 보기 위해서는 필수입니다.  
10,2019-03-09,말이 필요없는 완벽한 영화  
10,2019-03-09,관람객그럭저럭 재밌게 봤음~~  
8,2019-03-09,재미는 있는데 마블 이름표 안붙었으면 못떴을듯 . 페미페미 거리던데 딱히 이상한 건 못느끼겠음.  
10,2019-03-09,관람객레알 밥도둑 다음편 기대할게요  
8,2019-03-09,관람객너무 재밌게 봤습니다.  
10,2019-03-09,평점때문에 안보려했는데 그랬으면 후회했을듯  
1,2019-03-09,"지금 네티즌 평점에 어울리는 어벤저스 인질극 영화.. 토르 라그나로크, 블랙팬서, 앤트맨과 와스프에 비해 오히려 퇴보된 마블 유니버스 영화였습니다.  "
10,2019-03-09,관람객역시 마블은 재미나요 마블팬으로써 만족합니다  
2,2019-03-09,박나래 할리우드  진출함?  
9,2019-03-09,개꿀잼...마블시리즈 떡밥회수있어서 좋음어벤져스의 기원을 알 수 있는 영화마블팬이면 꼭 봐야됨흠이 있다면 여주인공 선택을 잘못한듯  
1,2019-03-09,작위적 스토리... 클라이막스 이후로는 그냥 꾀어맞춘 페미니즘 스토리일뿐.... 그리고 엄청 쌔다! 이러는데 그냥 파워밸런스 어긋나게 만들었을 뿐이야  
1,2019-03-09,페미니즘은 정신병이다.  
6,2019-03-09,관람객평작 재밌지도 없지도 그냥저냥  
6,2019-03-09,관람객허허 마지막쿠키영상을 볼려고 내가 그리 기대하고 기다렸나....  
10,2019-03-08,마블을 사랑하는 모두가 꼭 봐야하는 영화  
7,2019-03-08,"이전 마블영화들의 성공이 없었다면 절대로 이정도 성공(수익)을 못했을 영화. 모든 액션신은 빛과 cg로 덮여있어 주연의 연기는 빛을 발하지 못했고, 조연들이 영화를 끌고간 영화. 그중 주연의 뜀박질 연기는 최악  "
4,2019-03-08,마블이 점점 연결고리만으로 끌고가려고 하는거 같아서 아쉽고... 내용이 점점 허접해지는거 같다..  
2,2019-03-08,엔드게임을 보기위해  어쩔수 없이 거쳐가야 할 관문일뿐..  
1,2019-03-08,마블영화중 유일하게 거른영화  
7,2019-03-08,"마블에 대한 기대치가 높아져서 그렇지 나름 재밌게 봤는데, 잘 만들었냐고 하면 글쎄.. 스타일도 좀 달라서 호불호는 갈릴 듯 함. 갠적으로 캡틴마블에 브리라슨이 생각보다 괜찮았지만 최선은 아니지 않았을까 싶다.  "
2,2019-03-07,기대했는데 그저그랬음..김빠짐  
1,2019-03-07,영화 다 끝나고 나오는 채 1분도 안 되는 쿠키영상이 훨~~~씬 재밌습니다.  
1,2019-03-07,캡마 긴장감없고 너무 사기캐  
1,2019-06-10,모든걸 말해주는 한줄분석이 영화를 가장 좋아하는 그룹은 20대 여자입니다.  
1,2019-06-01,여주가 너무 못생김 극혐수준  
10,2019-05-09,솔직히 솔로무비에서 제일 재미없던건 인크레더블 헐크죠.... 다른 어벤져스들 잘난척 오지는데 캡틴마블만 까이는 이유를 모르겠다.  
1,2019-05-03,꼴페미년 물러가라 훠이훠이  
1,2019-05-02,케스팅미스 이건 아니잖아 ㅋ  
10,2019-05-02,존나 재미있구만 XX들이 브리라슨 까대서 패스할뻔했네. 브리라슨도 캐릭터 잘 소화시켜서 괜찮았음  
1,2019-04-25,;;평점 알바가 있나..앤드게임 보기전에 봤는데 시간 날렸다  
7,2019-04-10,"관람객페미영화라고 본 데에는 일단 주연배우인 브리라슨의 경솔함이 가장 컷고, 그리고 마벨을 원작과 달리 굳이 여자로 만든 이유도 모르겠거니와, 옛날에 차별받던 여자상을 끌어와서 주연배우의 이미지와 겹친게 너무 큼. 여튼 잘못은 브리라슨이다  "
10,2019-04-08,앤드 게임 보가 전에 봐둬야 될거 같아서 봤는데 생각보다는 너무 좋았다. 이게 패미영화라고 한다면 여성들은 정말 숨쉴 곳도 없을거 같다.  
10,2019-04-08,관람객난 진짜 재밌었는데 왜 사람들이 뭐라고 할까?  
10,2019-04-05,관람객증명할필요가 없는 캡틴마블 ㅜㅜ너무 멋있다  
10,2019-04-04,관람객재미있어요여성주연영화 최고^~^  
2,2019-03-28,지겨워요.. 옆에친구만아녓음 나갔음ㅋ  
10,2019-03-27,생각보다 괜찮았음 ㅋㅋ 누구네들이 평점테러해놔서 재미없는줄알거 안봤으면 후회할뻔그리고 쿠키영상 ㄷㄷ  
10,2019-03-27,존잼입니다. 존잼존잼존잼  
8,2019-03-27,관람객SF 좋아하는 나에겐 즐거운영화  
10,2019-03-26,관람객재밌음 불략펜서보다 훨씬 나름  
6,2019-03-25,타노스한테 따박따박 말대꾸하는 로난도 쫄아서 토낄정도로 너무 쌤  그리고 여주 너무 못생김 뛰는장면 너무 ㅂㅅ처럼 뜀  
1,2019-03-24,오늘 아침에 봤는데.솔찍히 마블영화중 제일 별로네요.  
10,2019-03-24,관람객좋았어요!!! 다음 스토리가 기대 됩니다~  
10,2019-03-24,관람객역시 믿고 보는 마블영화 !!  
10,2019-03-24,관람객4월이 기다려진다 어벤저스으으  
10,2019-03-24,관람객영화 재밌네요~엔드게임 기대되네요  
10,2019-03-24,관람객엔드게임 보려면 꼭 봐야한다... 재밌었다  
10,2019-03-24,관람객다음편이 너무 기대되네요  
7,2019-03-24,관람객괜찮은데? 댓글보고 기대안했는데 ㅍㅅㅌㅊ  
10,2019-03-23,최고입니다 꼭보세욤 꿀잼  
10,2019-03-23,잔인한 부분이없어서  이이들과보기좋네요~.  
1,2019-03-23,영화관에서 처음 자봤다 초반에 자도 중간에 일어나면 내용 이해됨  
8,2019-03-23,관람객나름 재미있음. 뭔가 어벤져스에 등장시키기위한 전초작업 같은 느낌을 지울수 없지만 닉퓨리 아저씨의 과거를 알게되서 재미있음 ㅋㅋ  
10,2019-03-22,여자아이들이 이영화을 보고 자신도 영웅이 될 수 있다는걸 알았으면 좋겠네요 주옥같은 영화입니다 존멋 캡틴마블  
6,2019-03-22,페미영화로 보긴 어렵고... 근데 전반적으로 마블영화치고 재미는 약한편... 뭐 아이언맨1 빼고 항상 개별 히어로물 1편은 약한편이긴 했는데... 문제는 히어로가 되는데 너무 쉽게 파워를 얻고 그 힘을 쓰는데에 대한 고민도 없다는게 문제.  
10,2019-03-21,재밌습니다 ㅋㅋㅋ 재밌게볼만하더군요  
10,2019-03-21,종족: 인간 수컷 / 위험도: 낮거나 없음 ㅋㅋㅋㅋ  
10,2019-03-21,헐 너무 재밌게 봐서 평 엄청 높을줄알았는데ㅠㅠ마블 처음 봤는데 정말 꿀잼ㅠㅠㅠ  
10,2019-03-21,보세요 진짜 제발 보세요. 보고 좋아서 두 번 봅니다  
10,2019-03-21,평점 테러 보고 안볼려다가 심심해서 봤는데 개꿀잼이네 ㅡㅡ 다 알바놈들인가  
6,2019-03-21,관람객잠들었네요ㅋㅋㅋ ㄱㄲㅋ  
6,2019-03-21,소위  차후를 위한 필수요소 겠거니 하고 봤는데 솔까 전체 마블작중에서 재미면에서 하위권 봅니다 지구에 추락하기 전까지 살짝 지루함  
9,2019-03-19,"관람객괜찮은 영화였던 것 같습니다. 자신의 권리를 주장하는, 사람이라면 지극히 당연한 논리를 표현한 영화 였던 것 같아요~  "
10,2019-03-18,이때까지 아이맥스 영화중에 영상미 최고인듯 합니다. 그 한계가 어디까지인지 궁금해지네요. 엔드게임 또한 기대가 됩니다. 항상 좋은영화 마블 스튜디오 감사합니다. 마-벨의 마블이라니... ㅎㅎ  
10,2019-03-18,와진짜역대급으로 마블영화중에재밌었습니다ㅋ혼자 타노스 때려잡을정도로 강함  
10,2019-03-18,정말 말이 필요 없습니다.  
10,2019-03-18,구스구스구스!! :)  
10,2019-03-18,더 많은 여성 영화들이 나오는 계기가 되길 바라며  
8,2019-03-18,흠. 평점테러 했었지만 이제와서 고칩니다. 생각보다 매우 재미지더군요. 브리라슨의 발언이나 캡마를 위한 빡센 훈련장면도 찾아보니 오해한부분도 있고..  
7,2019-03-17,짱깨 자본 들어갔나? 너무 밋밋해.  
7,2019-03-17,"그냥저냥 볼만은 한데 딱히 재밌는지 않은 것 같음, 새로운 히어로 소개하는 영화라서 꼭 영화관에서 볼 필요는 없을 것 같습니다.  "
2,2019-03-17,노잼 마블역사상 최악의 영화  
10,2019-03-16,"캡틴 마블이 페미 영화라면 아이언맨,캡틴아메리카,토르,닥터스트레인지,앤트맨,스파이더맨은 남자 영화냐? 죄다 남자가 주인공이구만? 하여간 여자 한명이라도 남자보다 잘되는 꼴을 못보는 샛기들  "
3,2019-03-16,편견을 같고 봤는데 편견없이봐도 씹노잼이었을듯  
1,2019-03-16,엔드게임을 위한 스토리 진행용. 남는 감동은 없네.  
2,2019-03-16,주인공이 너무 강하다 보니 긴장감이 없네요약간 지루 하였습니다.  
4,2019-03-16,관람객음 딱히 재밋지거 않고 재미없지도 않음 그냥 볼만함  
6,2019-03-16,관람객그렇게 재밋진 않았어요  
4,2019-03-15,재미가 없었어요 마블 시리즈 다봤는디... 실망 그래도 캡마 누님 타노스 참교육은 기대됨  
1,2019-03-15,당신의 마블에 대한 환상을 지켜주기 위하여  
6,2019-03-14,"관람객여러 시사적인 문제를 떠나. 그냥 내용이 좀. 유치함. ,,, 여자히어로 혼자 너무 외롭네요. 암튼 2탄에선 좀더 탄탄한 전개부탁해용  "
3,2019-03-14,노력은했는데 재미는 없는 영화  
6,2019-03-13,관람객긴장감이 없어서그런지 뭔가 아쉽네요  
1,2019-03-13,캡틴마블은 영화속 에서 마벨이란 이름을 착각해서 캡틴마블이라고 불리우는데 이 영화는 아주 여주를 진짜 캡틴으로 만들 것인지 너무나 허무하게 끝남. 캡틴 마블 혼자 히어로들 다 이기겠음  
5,2019-03-13,난 그냥 알리타가 낫던데  
1,2019-03-13,마블시리즈중 가장 재미가 없네요  
2,2019-03-13,마루치 아라치? 싱겁다 못해 맹탕.  
6,2019-03-13,관람객마블영화 좋아하는 20대 후반 여자인데.. 초반에 솔직히 좀 잤어요...ㅠㅠㅠ끝부분은 그냥..볼만해요..  
1,2019-03-13,왜까는지 이해를 못하는 사람들에 몇글자 적는다영화는 영화로 보는게 맞지 근데 인성이랑은 다른 문제란다  
2,2019-03-13,정말최악의돈아까운영화  
5,2019-03-13,액션이 많이 모자른 영화였음.액션구도나 앵글이 단순하고 마블 액션의 화려함이 부족하고 불량도 적음.설정도 진부하고 설명에 지나치게 시간을 할애해서 좀 루즈함.  
4,2019-03-13,음 별로 그냥 그저 그래요  
8,2019-03-12,관람객두번째 쿠키영상 의문해소는 해줬지만 좀 허무했음;  
5,2019-03-11,관람객실존주의의 어설픈 적용  
2,2019-03-11,ㅋㅋ 난 이배우가 뭐라고 까지 않았는데 ㅋㅋㅋ 이걸 다시 빠는 애들이 더 한심 ㅋㅋㅋ 솔직히 생각했던 것보다는 재미없고 안 어울리는 거 맞는데?ㅋㅋㅋ 일단 주인공은 너무 세고 적들은 너무 약해도 너무 약해 ㅋㅋㅋ 누워서 어벤저스 탄생 스토리 들은 느낌  
6,2019-03-11,기존 마블액션에 길들어진 나에겐 기다린 만큼 실망이 크네요.  
4,2019-03-11,관람객조금 지루했고 앤드게임에 그녀가 나오는 것에대한 밑밥이 될 만한 영화였다.  
